GPSTime,X,Y,Z
372618.0,3509216.5731817377,778700.4377722502,5250463.558418513
372619.0,3509215.689173526,778702.0171217149,5250463.880146804
372620.0,3509266.0134800225,778678.8562542809,5250447.105771116
372621.0,3509332.2235058392,778647.3649019855,5250425.709848485
372622.0,3509332.9076511827,778648.33076378,5250424.136840173
372623.0,3509333.2642828105,778649.5502073746,5250423.5828657355
372624.0,3509334.183832035,778650.5325655574,5250421.100711142
372625.0,3509334.58544913,778651.609396662,5250419.973530383
372626.0,3509033.25153019,778744.9979301672,5250877.116001608
372627.0,3508904.512592834,778767.862947413,5251008.791198825
372628.0,3508966.4637609655,778754.4773476636,5250615.565185913
372629.0,3508966.039813322,778755.4549863046,5250615.809747839
372630.0,3508966.336409274,778756.6923989432,5250616.31590633
372631.0,3508966.3824786725,778757.8615040347,5250617.442155099
372632.0,3508966.5723484457,778759.1571494427,5250618.2875071
372633.0,3509206.693365887,778720.8977170438,5250464.788970234
372634.0,3509206.6555094845,778721.9569952565,5250465.017648635
372635.0,3509206.936798564,778723.0342957274,5250465.074361597
372636.0,3509207.09739893,778724.5303467708,5250465.622038906
372637.0,3509207.507193499,778726.5107009893,5250466.982145973
372638.0,3509207.367418838,778727.7406090996,5250467.7787804045
372639.0,3509207.509449002,778729.2801327694,5250469.020572136
372640.0,3509207.439668511,778731.3635693119,5250469.520883973
372641.0,3509207.306012242,778732.8464069993,5250469.640132501
372642.0,3509207.29767583,778734.2546524164,5250470.325248824
372643.0,3509207.3987558563,778735.8896487282,5250470.863130723
372644.0,3509207.457721015,778737.155975675,5250471.362126384
372645.0,3509207.0255260435,778737.892978746,5250472.199835203
372646.0,3509207.874284871,778739.6714967845,5250473.986643322
372647.0,3509209.268877548,778741.4984269466,5250475.647377482
372648.0,3509209.761117985,778743.1529337629,5250476.213330664
372649.0,3509209.8595485403,778744.7837846935,5250475.345779086
372650.0,3509429.9533355315,778967.3696601014,5250779.049866454
372651.0,3509261.187607611,778799.270751571,5250545.983333826
372652.0,3509261.2130828444,778800.2460161163,5250546.255954854
372653.0,3509261.601829561,778801.342933317,5250546.261492405
372654.0,3509262.1193457525,778802.2981660138,5250546.9013013225
372655.0,3509262.5117022796,778803.3165351029,5250547.15684054
372656.0,3509263.3826674763,778804.2695725184,5250549.928351265
372657.0,3509264.025328395,778805.2573449482,5250551.123189556
372658.0,3509263.830896786,778806.3867816916,5250551.369675302
372659.0,3509263.662302446,778807.057270586,5250550.254165325
372660.0,3509268.8856019923,778799.9647097155,5250557.484793558
372661.0,3509353.917084288,778879.6838207535,5250624.458712186
372662.0,3509354.1501910645,778880.2139894653,5250625.185403467
372663.0,3509354.402500307,778880.2955104609,5250625.936197136
372664.0,3509354.7661285177,778880.6988024468,5250626.762431811
372665.0,3509355.058105833,778880.9028492424,5250627.594264395
372666.0,3509355.2898207023,778881.5046751512,5250628.660716822
372667.0,3509355.7193572107,778881.7290253774,5250629.17375639
372668.0,3509355.9814163647,778881.8724770375,5250629.835410909
372669.0,3509355.983631394,778882.067180729,5250630.110025105
372670.0,3509356.2823183364,778882.4681268435,5250630.976294379
372671.0,3509356.4304256537,778882.6149520206,5250631.463148732
372672.0,3509356.6217103205,778882.8894906534,5250632.526724832
372673.0,3509356.7968698125,778882.910004616,5250633.036660614
372674.0,3509356.991418349,778883.2010594023,5250634.151359593
372675.0,3509357.3099782146,778883.1506468897,5250634.363690575
372676.0,3509357.9613691997,778883.020998849,5250635.092899356
372677.0,3509358.169887309,778883.0121909595,5250635.777978525
372678.0,3509358.33980065,778883.2873682,5250636.142473353
372679.0,3509358.4874755912,778883.5298407985,5250636.589074499
372680.0,3509358.6143404106,778883.7356911158,5250637.332675396
372681.0,3509358.8660803386,778884.1811222002,5250637.871985433
372682.0,3509359.2488867757,778884.5993991261,5250638.481501112
372683.0,3509359.4328171615,778885.0860298664,5250639.374517688
372684.0,3509359.8098013746,778885.385641404,5250640.024438132
372685.0,3509360.163890515,778885.3707727583,5250640.431799743
372686.0,3509360.5955510656,778885.6235821472,5250641.19410349
372687.0,3509360.606173074,778885.6263042234,5250641.791340711
372688.0,3509360.416906027,778885.8003688108,5250642.11230536
372689.0,3509360.5713243587,778886.2764892478,5250643.594879774
372690.0,3509360.705025832,778886.6389133955,5250644.384210911
372691.0,3509360.7958226134,778886.9581050342,5250644.802472917
372692.0,3509361.1122409515,778887.2106068622,5250645.894122235
372693.0,3509361.6258782623,778887.2197945206,5250646.9515356645
372694.0,3509361.961066873,778887.2135813095,5250647.628947337
372695.0,3509362.2470496045,778887.2921769,5250648.443011147
372696.0,3509362.582874073,778887.5308997718,5250649.144530219
372697.0,3509362.9057123354,778887.804204306,5250650.452977806
372698.0,3509363.4163296437,778887.9813077319,5250651.018811537
372699.0,3509363.719972337,778888.1493445985,5250651.725045182
372700.0,3509363.685604414,778888.3059191948,5250652.680088038
372701.0,3509363.2471937328,778888.6384225956,5250652.40103427
372702.0,3509363.4885183005,778888.8524147173,5250652.912448005
372703.0,3509363.9528424125,778889.0313770453,5250653.492002094
372704.0,3509364.3672234653,778889.5877445255,5250654.695132518
372705.0,3509230.1824145284,778943.0852914779,5250769.341958253
372706.0,3509366.1132851024,778889.6040780683,5250655.12038184
372707.0,3509366.149624623,778889.6827126526,5250655.827603906
372708.0,3509366.485136322,778889.9220673868,5250656.674847617
372709.0,3509366.265807088,778890.3106278803,5250657.29153771
372710.0,3509231.084129588,778943.6012102093,5250772.275776987
372711.0,3509366.545013493,778890.7363517417,5250659.084100485
372712.0,3509367.0460738414,778890.4853417594,5250659.931709992
372713.0,3509372.045953232,778882.6467634944,5250666.894181831
372714.0,3509368.000277371,778890.5220389623,5250661.405865485
372715.0,3509368.203800652,778890.5828817781,5250661.686821234
372716.0,3509368.410246131,778890.8569641629,5250662.334120803
372717.0,3509284.1919059968,778823.2718339657,5250592.72800005
372718.0,3509368.413893455,778891.3171044649,5250663.638309628
372719.0,3509368.1298444974,778891.8443481085,5250664.59771502
372720.0,3509368.0877436777,778892.448670534,5250665.351234334
372721.0,3509452.6630530464,778807.9738573761,5250601.818094851
372722.0,3509358.934905091,778894.4650775265,5250628.749603213
372723.0,3509368.040885693,778894.341539974,5250668.541624595
372724.0,3509367.945001053,778894.3319770212,5250668.544004892
372725.0,3509368.379244519,778894.3661183023,5250669.027762787
372726.0,3509368.7599013955,778894.4201936143,5250669.179915447
372727.0,3509369.2450695913,778894.5682972252,5250669.703755927
372728.0,3509369.703587329,778894.5373483993,5250669.634908157
372729.0,3509369.5617365283,778894.7937181544,5250670.573376572
372730.0,3509369.7286315733,778894.9858931293,5250671.150791696
372731.0,3509369.900128157,778895.090367028,5250671.89470466
372732.0,3509370.016554378,778895.3371991891,5250672.865985303
372733.0,3509370.2585441987,778895.5546760998,5250673.868661105
372734.0,3509370.681085387,778895.9872469901,5250675.085680042
372735.0,3509370.835346913,778896.3862805414,5250676.007920223
372736.0,3509371.171408415,778896.6894758992,5250676.929117938
372737.0,3509371.7422394357,778897.0885195034,5250678.26185051
372738.0,3509371.7808836987,778897.6585761567,5250679.561875803
372739.0,3509372.1030220236,778898.1371831439,5250680.216377057
372740.0,3509372.2967318846,778898.6026541833,5250680.528750141
372741.0,3509372.63154494,778898.8974833082,5250680.94483456
372742.0,3509373.201231588,778899.2785225464,5250681.507557582
372743.0,3509458.3614599924,778814.0585279315,5250616.126909056
372744.0,3509458.663075974,778814.1657011714,5250616.840113681
372745.0,3509374.359684895,778899.7035165944,5250683.242602383
372746.0,3509375.203415224,778899.7932756022,5250683.860499175
372747.0,3509375.4238955956,778900.010859388,5250684.557783254
372748.0,3509375.58806102,778899.9241029423,5250684.824446258
372749.0,3509459.6679985346,778815.2132638717,5250620.056296081
372750.0,3509375.8483562623,778899.8511175755,5250686.384920552
372751.0,3509459.795253951,778815.2282779163,5250621.13771185
372752.0,3509459.8669144693,778815.338501629,5250621.4031429365
372753.0,3509460.2095559137,778815.331014844,5250621.875291124
372754.0,3509460.580671068,778815.4391389878,5250622.726357456
372755.0,3509375.3081643754,778901.8554514773,5250690.542161717
372756.0,3509375.668147357,778901.882664889,5250690.9924351
372757.0,3509376.1113227042,778902.0057856655,5250691.537958695
372758.0,3509376.485533104,778901.9529646843,5250691.58639908
372759.0,3509376.992195154,778901.7094754972,5250691.350736183
372760.0,3509377.4512194055,778901.4465449095,5250691.823741369
372761.0,3509377.7557010674,778901.3509994653,5250692.148285603
372762.0,3509378.299478805,778901.576239441,5250693.196179683
372763.0,3509378.9990861844,778901.9437610764,5250694.213477981
372764.0,3509379.0727618383,778902.1976339617,5250694.72861519
